quote,author,category,escola
"All I need is a sheet of paperand something to write with, and thenI can turn the world upside down.",Friedrich Nietzsche,writing,Niilismo / Existencialismo (precursor)
"Writing is utter solitude, the descent into the cold abyss of oneself.",Franz Kafka,"introspection, writing",Existencialismo (influência) / Absurdo
It is my ambition to say in ten sentences what others say in a whole book.,Friedrich Nietzsche,"brevity, writing",Niilismo / Existencialismo (precursor)
We photograph things in order to drive them out of our minds. My stories are a way of shutting my eyes.,Franz Kafka,writing,Existencialismo (influência) / Absurdo
There is creative reading as well as creative writing.,Ralph Waldo Emerson,"creativity, enlightenment, learning, reading, writing",Transcendentalismo
The author must keep his mouth shut when his work starts to speak.,Friedrich Nietzsche,writing,Niilismo / Existencialismo (precursor)
"People do not deserve good writing, they are so pleased with bad.",Ralph Waldo Emerson,"humor, writing",Transcendentalismo
Better a good journalist than a poor assassin.,Jean-Paul Sartre,"dirty-hands, journalism, revolution, writing",Existencialismo
"If you wish to be a writer, write.",Epictetus,"writers, writing",Estoicismo
‎A day in which I don't write leaves a taste of ashes.,Simone de Beauvoir,writing,Existencialismo / Feminismo
Every word first looks around in every direction before letting itself be written down by me.,Franz Kafka,"language, writing",Existencialismo (influência) / Absurdo
Writing is the geometry of the soul. ,Plato,writing,Platonismo
Books are for nothing but to inspire,Ralph Waldo Emerson,"authors, books, writing",Transcendentalismo
Writer speaks a stench.,Franz Kafka,writing,Existencialismo (influência) / Absurdo
Writing is prayer.,Franz Kafka,"prayer, writing",Existencialismo (influência) / Absurdo
"If a man comes to the door of poetry untouched by the madness of the Muses, believing that technique alone will make him a good poet, he and his sane compositions never reach perfection, but are utterly eclipsed by the performances of the inspired madman.",Socrates,"craziness, mental-illness, writing, writing-life",Filosofia Socrática
What is written is merely the dregs of experience.,Franz Kafka,writing,Existencialismo (influência) / Absurdo
"In order to be created, a work of art must first make use of the dark forces of the soul",Albert Camus,"art, literature, writing",Existencialismo / Absurdismo
"It is not the strength, but the duration, of great sentiments that makes great men.",Friedrich Nietzsche,writing,Niilismo / Existencialismo (precursor)
"drill one hole after another into [language] until that which lurks behind, be it something or nothing, starts seeping through – I cannot imagine a higher goal for today’s writer.",Samuel Beckett,writing,Teatro do Absurdo
The way to write is to throw your body at the mark when your arrows are spent.,Ralph Waldo Emerson,"inspirational, writing",Transcendentalismo
What the superior man seeks is in himself what the small man seeks is in others. ,Confucius,"individuality, inspiration, validation",Confucionismo
"Few people know how to take a walk. The qualifications are endurance, plain clothes, old shoes, an eye for nature, good humor, vast curiosity, good speech, good silence and nothing too much.",Ralph Waldo Emerson,inspiration,Transcendentalismo
We are wiser than we know.,Ralph Waldo Emerson,inspiration,Transcendentalismo
Rule your mind or it will rule you.,Horace,"be-strong, be-yourself, independence, inspiration, inspirational, life, living, rule, self-help, stay-strong, strength, the-mind",Epicurismo (influência)
"I decided that it was not wisdom that enabled [poets] to write their poetry, but a kind of instinct or inspiration, such as you find in seers and prophets who deliver all their sublime messages without knowing in the least what they mean.",Socrates,"inspiration, poets",Filosofia Socrática
"To study and constantly, is this not a pleasure? To have friends come from far away places, is this not a joy? If people do not recognize your worth, but this does not worry you, are you not a true gentleman?",Confucius,"good-things, inspiration, life",Confucionismo
"For the poet is a light and winged and holy thing, and there is no invention in him until he has been inspired and is out of his senses, and the mind is no longer in him: when he has not attained to this state, he is powerless and is unable to utter his oracles.",Socrates,"inspiration, poet, socrates",Filosofia Socrática
It is only by risking our persons from one hour to another that we live at all.,William James,inspiration,Pragmatismo
Calligraphy is a geometry of the soul which manifests itself physically.,Plato,"art, inspiration",Platonismo
"Evil does not exist; once you have crossed the threshold, all is good. Once in another world, you must hold your tongue.",Franz Kafka,"inspiration, spirituality",Existencialismo (influência) / Absurdo
"When you enter a grove peopled with ancient trees, higher than the ordinary, and shutting out the sky with their thickly inter-twined branches, do not the stately shadows of the wood, the stillness of the place, and the awful gloom of this doomed cavern then strike you with the presence of a deity?",Seneca,"divinity, inspiration, nature, trees",Estoicismo
"A poet, you see, is a light thing, and winged and holy, and cannot compose before he gets inspiration and loses control of his senses and his reason has deserted him.",Plato,"composition, holy, inspiration, plato, poet, reason, senses",Platonismo
"His heart was as great as the world, but there was no room in it to hold the memory of a wrong",Ralph Waldo Emerson,inspiration,Transcendentalismo
The way to gain a good reputation is to endeavor to be what you desire to appear.,Socrates,"inspiration, integrity, reputation",Filosofia Socrática
"In heaven, all the interesting people are missing.",Friedrich Nietzsche,"heaven, religion",Niilismo / Existencialismo (precursor)
I cannot believe in a God who wants to be praised all the time.,Friedrich Nietzsche,"agama, agnosticism, prayer, religion",Niilismo / Existencialismo (precursor)
Is man merely a mistake of God's? Or God merely a mistake of man?,Friedrich Nietzsche,"atheism, organized-religion, paradox, religion",Niilismo / Existencialismo (precursor)
"In truth,there was only one christian and he died on the cross.",Friedrich Nietzsche,"christian-behavior, christianity, religion",Niilismo / Existencialismo (precursor)
"The hardest thing of all is to find a black cat in a dark room, especially if there is no cat.",Confucius,"futility, knowledge, religion",Confucionismo
"Two great European narcotics, alcohol and Christianity.",Friedrich Nietzsche,"drinking, religion",Niilismo / Existencialismo (precursor)
The religion of one age is the literary entertainment of the next.,Ralph Waldo Emerson,religion,Transcendentalismo
"A tyrant must put on the appearance of uncommon devotion to religion. Subjects are less apprehensive of illegal treatment from a ruler whom they consider god-fearing and pious. On the other hand, they do less easily move against him, believing that he has the gods on his side.",Aristotle,"morality, politics, religion",Peripatético / Aristotelismo
A sect or party is an elegant incognito devised to save a man from the vexation of thinking.,Ralph Waldo Emerson,"humanism, politics, religion",Transcendentalismo
"The love of God is a hard love. It demands total self-surrender, disdain of our human personality. And yet it alone can reconcile us to suffering and the deaths of children, it alone can justify them, since we cannot understand them, and we can only make God's will ours.",Albert Camus,"religion, the-plague",Existencialismo / Absurdismo
"Fanatics are picturesque, mankind would rather see gestures than listen to reasons.",Friedrich Nietzsche,"fanatics, fundamentalists, reason, religion",Niilismo / Existencialismo (precursor)
"Moreover, most people, assuming they had not altogether abandoned religious observances, or did not combine them naively with a thoroughly immoral way of living, had replaced normal religious practice by more or less extravagant superstitions.",Albert Camus,"beliefs, religion, superstition",Existencialismo / Absurdismo
"...since the order of the world is shaped by death, mightn't it be better for God if we refuse to believe in Him and struggle with all our might against death, without raising our eyes towards the heaven where He sits in silence?",Albert Camus,"religion, science, the-plague",Existencialismo / Absurdismo
"Ist eine Lehre zur Satzung erstarrt, hat sie geendet.",Lao Tzu,"dogmatism, religion",Taoismo
"In order to disprove the assertion that all crows are black, one white crow is sufficient.",William James,"harvard-professor-of-psychology, proof, religion, science, spirituality, theory",Pragmatismo
"The more he needs God, the more deeply he comprehends he is in need of God, and then the more he in his need presses forward to God, the more perfect he is... To need God is nothing to be ashamed of but is perfection itself.",Søren Kierkegaard,"inspirational, religion",Existencialismo Cristão
I do not concern myself with gods and spirits either good or evil nor do I serve any.,Lao Tzu,religion,Taoismo
To know that you do not know is the best.To think you know when you do not is a disease.Recognizing this disease as a disease is to be free of it.,Lao Tzu,"ignorance, knowledge",Taoismo
"Knowledge is a treasure, but practice is the key to it.",Lao Tzu,knowledge,Taoismo
Poets utter great and wise things which they do not themselves understand.,Plato,"knowledge, poets",Platonismo
Knowledge is the food of the soul.,Plato,"food, knowledge, soul",Platonismo
"Since we cannot know all there is to be known about anything, we ought to know a little about everything.",Blaise Pascal,knowledge,Jansenismo / Existencialismo Cristão (precursor)
Knowledge unqualified is knowledge simply of something learned.,Plato,knowledge,Platonismo
"In pursuit of knowledge, every day something is acquired. In pursuit of wisdom, every day something is dropped.",Lao Tzu,"knowledge, pursuit, wisdom",Taoismo
"Because it is so unbelievable, the truth often escapes being known.",Heraclitus,"belief, knowledge, truth, unknown",Pré-socrático
"Ultimately, nobody can get more out of things, including books, than he already knows.",Friedrich Nietzsche,"books, knowledge, nietzche, reading",Niilismo / Existencialismo (precursor)
Even subjects that are known are known only to a few,Aristotle,knowledge,Peripatético / Aristotelismo
Science is organized knowledge. Wisdom is organized life,Immanuel Kant,"knowledge, science, wisdom",Idealismo Transcendental
"The good news is that the moment you decide that what you know is more important than what you have been taught to believe, you will have shifted gears in your quest for abundance. Success comes from within, not from without.",Ralph Waldo Emerson,success,Transcendentalismo
"When you have faults, do not fear to abandon them.",Confucius,"advice, life, success",Confucionismo
"Where would his torture be, indeed, if at every step the hope of succeeding upheld him?",Albert Camus,"perseverance, sisyphus, success",Existencialismo / Absurdismo
Every achievement is a servitude. It compels us to a higher achievement.,Albert Camus,"achievement, success",Existencialismo / Absurdismo
"You only have to doze a moment, and all is lost. For ruin and salvation both have their source inside you.",Epictetus,success,Estoicismo
Educating the mind without educating the heart is no education at all.,Aristotle,"education, ethics",Peripatético / Aristotelismo
"Education is the kindling of a flame, not the filling of a vessel.",Socrates,"education, enlightenment, learning, lifelong-learning, mentorship",Filosofia Socrática
The educated differ from the uneducated as much as the living differ from the dead.,Aristotle,education,Peripatético / Aristotelismo
Education breeds confidence. Confidence breeds hope. Hope breeds peace.,Confucius,education,Confucionismo
"The secret of education lies in respecting the pupil. It is not for you to choose what he shall know, what he shall do. It is chosen and foreordained and he only holds the key to his own secret.",Ralph Waldo Emerson,"education, initiative, self-education",Transcendentalismo
Only the educated are free.,Epictetus,education,Estoicismo
Learning without thought is labor lost thought without learning is perilous. ,Confucius,"education, learning, thinking",Confucionismo
"Learning is an ornament in prosperity, a refuge in adversity, and a provision in old age.",Aristotle,"adversity, education, learning, old-age, prosperity",Peripatético / Aristotelismo
The secret of education lies in respecting the pupil.,Ralph Waldo Emerson,education,Transcendentalismo
"They're so cold, these scholars!May lightning strike their foodso that their mouths learn howto eat fire!",Friedrich Nietzsche,"coldness, education, elitism, higher-education, scholars, scholarship",Niilismo / Existencialismo (precursor)
"For in spite of itself any movement that thinks and acts in terms of an ‘ism becomes so involved in reaction against other ‘isms that it is unwittingly controlled by them. For it then forms its principles by reaction against them instead of by a comprehensive, constructive survey of actual needs, problems, and possibilities.",John Dewey,"change, education, isms",Pragmatismo
The most effective kind of education is that a child should play amongst lovely things.,Plato,"children, education, lovely-things, plato, slow",Platonismo
The direction in which education starts a man will determine his future life,Plato,"education, future, life, plato",Platonismo
"If someone who wanted to learn to dance were to say: For centuries, one generation after the other has learned the positions, and it is high time that I take advantage of this and promptly begin with the quadrille--people would presumably laugh a little at him, but in the world of spirit this is very plausible. What, then, is education? I believed it is the course the individual goes through in order to catch up with himself, and the person who will not go through this course is not much helped by being born in the most enlightened age.",Søren Kierkegaard,education,Existencialismo Cristão
"The soul of him who has education is whole and perfect and escapes the worst disease, but, if a man's education be neglected, he walks lamely through life and returns good for nothing to the world below.",Plato,education,Platonismo
"So you see that the process of education, taken in a large way, may be described as nothing but the process of acquiring ideas or conceptions, the best educated mind being the mind which has the largest stock of them, ready to meet the largest possible variety of the emergencies of life. The lack of education means only the failure to have acquired them, and the consequent liability to be 'floored' and 'rattled' in the vicissitudes of experience.",William James,"conceptions, education, ideas",Pragmatismo
"Knowledge which is acquired under compulsion has no hold on the mind. Therefore do not use compulsion, but let early education be a sort of amusement; you will then be better able to discover the child's natural bent.",Plato,"education, homeschool, homeschooling, learning",Platonismo
"As we have seen there is some kind of continuity in any case since every experience affects for better or worse the attitudes which help decide the quality of further experiences, by setting up certain preference and aversion, and making it easier or harder to act for this or that end.",John Dewey,"education, experiences",Pragmatismo
Life contains but two tragedies. One is not to get your heart’s desire the other is to get it. ,Socrates,"philosophy-of-life, psychology, relationships",Filosofia Socrática
"Miss Austen’s novels … seem to me vulgar in tone, sterile in artistic invention, imprisoned in the wretched conventions of English society, without genius, wit, or knowledge of the world. Never was life so pinched and narrow. The one problem in the mind of the writer … is marriageableness.",Ralph Waldo Emerson,"humor, jane-austen, relationships",Transcendentalismo
Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.,Ralph Waldo Emerson,"motivational, work",Transcendentalismo
First say to yourself what you would beand then do what you have to do. ,Epictetus,motivational,Estoicismo
Ever Tried. Ever Failed. No matter. Try again. Fail again. Fail better.,Samuel Beckett,"humourous, motivational, philosophical, quirky",Teatro do Absurdo
Productivity is being able to do things that you were never able to do before.,Franz Kafka,"franz-kafka, inspirational, inspiritional-quotes, motivational, motivational-quotes, productivity",Existencialismo (influência) / Absurdo
Adventure is worthwhile.,Aristotle,"adventure, inspirational, motivational, travel",Peripatético / Aristotelismo
Only the dead have seen the end of war.,Plato,"dead, life-lessons, war, warriors",Platonismo
"Treat people as an end, and never as a means to an end",Immanuel Kant,life-lessons,Idealismo Transcendental
It is nobler to declare oneself wrong than to insist on being right --especially when one is right.,Friedrich Nietzsche,"life-lessons, nietzsche, noble, right, wrong",Niilismo / Existencialismo (precursor)
"Time is a created thing. To say 'I don't have time,' is like saying, 'I don't want to.",Lao Tzu,time,Taoismo
Three o'clock is always too late or too early for anything you want to do.,Jean-Paul Sartre,time,Existencialismo
The years teach much the days never know.,Ralph Waldo Emerson,time,Transcendentalismo
It was long since I had longed for anything and the effect on me was horrible.,Samuel Beckett,"change, desire, longing, pain, suffering, time",Teatro do Absurdo
Nothing endures but change.,Heraclitus,"change, impermanence, mujō, time, 無常",Pré-socrático
"The part of life we really live is small.' For all the rest of existence is not life, but merely time.",Seneca,"existence, life, living, quality-of-life, time",Estoicismo
Time crumbles things everything grows old under the power of Time and is forgotten through the lapse of Time. ,Aristotle,time,Peripatético / Aristotelismo
"It's not that we have little time, but more that we waste a good deal of it.",Seneca,"lifetime, time",Estoicismo
"…. Query: How contrive not to waste one's time?Answer: By being fully aware of it all the while.Ways in which this can be done: By spending one's days on an uneasy chair in a dentist's waiting-room; by remaining on one's balcony all of a Sunday afternoon; by listening to lectures in a language on doesn't know; by traveling by the longest and least-convenient train routes, and of course standing all the way; by lining up at the box-office of theaters and then not buying a seat; and so forth.",Albert Camus,time,Existencialismo / Absurdismo
The funniest people are the saddest ones,Confucius,"funny, people, sad",Confucionismo
"But in my opinion, all things in nature occur mathematically.",René Descartes,"math, mathematics, nature, opinion, science",Racionalismo
"Men love to wonder, and that is the seed of science.",Ralph Waldo Emerson,science,Transcendentalismo
Bad times have a scientific value. These are occasions a good learner would not miss.,Ralph Waldo Emerson,"challenges, difficulty, inspirational, learning, science, value",Transcendentalismo
"A kiss without a moustache, they said then, is like an egg without salt; I will add to it: and it is like Good without Evil.",Jean-Paul Sartre,science,Existencialismo
"Round about the accredited and orderly facts of every science there ever floats a sort of dust-cloud of exceptional observations, of occurrences minute and irregular and seldom met with, which it always proves more easy to ignore than to attend to... Anyone will renovate his science who will steadily look after the irregular phenomena, and when science is renewed, its new formulas often have more of the voice of the exceptions in them than of what were supposed to be the rules.",William James,science,Pragmatismo
"The void is 'not-being,' and no part of 'what is' is a 'not-being,'; for what 'is' in the strict sense of the term is an absolute plenum. This plenum, however, is not 'one': on the contrary, it is a 'many' infinite in number and invisible owing to the minuteness of their bulk.",Aristotle,"aristotle, atom, atomic, atomic-science, atoms, democritus, science, science-scientists, scientists",Peripatético / Aristotelismo
"In every department of physical science there is only so much science, properly so-called, as there is mathematics.",Immanuel Kant,"mathematics, science",Idealismo Transcendental
"I cannot remember the books I've read any more than the meals I have eaten; even so, they have made me.",Ralph Waldo Emerson,"books, reading, we-are-what-we-eat, we-are-what-we-read, you-are-what-you-eat, you-are-what-you-read",Transcendentalismo
Many a book is like a key to unknown chambers within the castle of one’s own self.,Franz Kafka,"books, castle, self",Existencialismo (influência) / Absurdo
A book must be the axe for the frozen sea within us.,Franz Kafka,books,Existencialismo (influência) / Absurdo
I think we ought to read only the kind of books that wound and stab us.,Franz Kafka,books,Existencialismo (influência) / Absurdo
Books are a narcotic.,Franz Kafka,books,Existencialismo (influência) / Absurdo
You cannot open a book without learning something.,Confucius,"books, learning, philosopher",Confucionismo
The reading of all good books is like conversation with the finest men of past centuries.,René Descartes,"books, literature, reading, words",Racionalismo
Some books leave us free and some books make us free.,Ralph Waldo Emerson,books,Transcendentalismo
"We need the books that affect us like a disaster, that grieve us deeply, like the death of someone we loved more than ourselves, like being banished into forests far from everyone, like a suicide. A book must be the axe for the frozen sea inside us.",Franz Kafka,"books, literature, reading, words",Existencialismo (influência) / Absurdo
Tis the good reader that makes the good book.,Ralph Waldo Emerson,books,Transcendentalismo
"Leisure without books is death, and burial of a man alive.",Seneca,books,Estoicismo
"In the highest civilization, the book is still the highest delight. He who has once known its satisfactions is provided with a resource against calamity.",Ralph Waldo Emerson,"books, civilization, civilized, emerson, quote, reading",Transcendentalismo
"Tis the good reader that makes the good book; in every book he finds passages which seem confidences or asides hidden from all else and unmistakenly meant for his ear; the profit of books is according to the sensibility of the reader; the profoundest thought or passion sleeps as in a mine, until it is discovered by an equal mind and heart.",Ralph Waldo Emerson,"books, literature, reading, words",Transcendentalismo
"I think we ought to read only books that bite and sting us. If the book we are reading doesn't shake us awake like a blow on the skull, why bother reading it in the first place? So that it can make us happy, as you put it? Good God, we'd be just as happy if we had no books at all; books that make us happy we could, in a pinch, also write ourselves. What we need are books that hit us like a most painful misfortune, like the death of someone we loved more than we love ourselves, that make us feel as though we had been banished to the woods, far from any human presence, like a suicide. A book must be the axe for the frozen sea within us. That is what I believe.",Franz Kafka,"books, literature, reading, words",Existencialismo (influência) / Absurdo
"In a library we are surrounded by many hundreds of dear friends, but they are imprisoned by an enchanter in these paper and leathern boxes; and though they know us, and have been waiting two, ten, or twenty centuries for us,—some of them,—and are eager to give us a sign and unbosom themselves, it is the law of their limbo that they must not speak until spoken to; and as the enchanter has dressed them, like battalions of infantry, in coat and jacket of one cut, by the thousand and ten thousand, your chance of hitting on the right one is to be computed by the arithmetical rule of Permutation and Combination,—not a choice out of three caskets, but out of half a million caskets, all alike.",Ralph Waldo Emerson,books,Transcendentalismo
distringit librorum multitudo (the abundance of books is distraction),Seneca,"1st-century, books, information-overload, seneca",Estoicismo
"We do not belong to those who have ideas only among books, when stimulated by books. It is our habit to think outdoors - walking, leaping, climbing, dancing, preferably on lonely mountains or near the sea where even the trails become thoughtful.",Friedrich Nietzsche,"books, idea, thought, walking",Niilismo / Existencialismo (precursor)
"Man Thinking must not be subdued by his instruments. Books are for the scholar's idle times. When he can read God directly, the hour is too precious to be wasted in other men's transcripts of their readings.",Ralph Waldo Emerson,"american-scholar, books",Transcendentalismo
"that the grace of fable stirs the mind""...and...""that the perusal of excellent books is, as it were, to interview with the noblest men of past ages",René Descartes,books,Racionalismo
"There are books which take rank in our life with parents and lovers and passionate experiences, so medicinal, so stringent, so revolutionary, so authoritative.",Ralph Waldo Emerson,books,Transcendentalismo
"If I save my insight, I don’t attend to weakness of eyesight.",Socrates,"books, eyesight, socrates",Filosofia Socrática
Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.,Ralph Waldo Emerson,spirituality,Transcendentalismo
All Earthquakes and Disasters are warnings there’s too much corruption in the world ,Aristotle,"inspirational, spirituality",Peripatético / Aristotelismo
Spiritual force is stronger than material force thoughts rule the world. ,Ralph Waldo Emerson,spirituality,Transcendentalismo
We can easily forgive a child who is afraid of the dark the real tragedy of life is when men are afraid of the light. ,Plato,"darkness, dishonesty, fear, light, willful-ignorance",Platonismo
He who has overcome his fears will truly be free.,Aristotle,"fear, freedom",Peripatético / Aristotelismo
Courage is knowing what not to fear.,Plato,"courage, fear",Platonismo
Do the thing you fear and the death of fear is certain.,Ralph Waldo Emerson,fear,Transcendentalismo
Mastering others is strength. Mastering oneself makes you fearless.,Lao Tzu,"fear, strength",Taoismo
Fear always springsfrom ignorance.,Ralph Waldo Emerson,"fear, ignorance",Transcendentalismo
Fear is pain arising from the anticipation of evil.,Aristotle,fear,Peripatético / Aristotelismo
"Men are not afraid of things, but of how they view them.",Epictetus,"fear, overcoming-fear",Estoicismo
Let it be considered that what is more wholesome than any particular belief is integrity of belief and that to avoid looking into the support of any belief from a fear that it may turn out rotten is quite as immoral as it is disadvantageous. ,Charles Sanders Peirce,"belief, fear, immoral, integrity",Pragmatismo
"Thus I spoke, more and more softly; for I was afraid of my own thoughts and the thoughts behind my thoughts.",Friedrich Nietzsche,"fear, speaking, thoughts, thus-spoke-zarathustra",Niilismo / Existencialismo (precursor)
"When a resolute young fellow steps up to the great bully, the world, and takes him boldly by the beard, he is often surprised to find it comes off in his hand, and that it was only tied on to scare away the timid adventurers.",Ralph Waldo Emerson,"courage, fear",Transcendentalismo
"f you wish to put off all worry, assume that what you fear may happen is certainly going to happen.",Seneca,"fear, worrying",Estoicismo
"The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.",Ralph Waldo Emerson,"helping-others, make-a-difference, purpose, purpose-of-life",Transcendentalismo
"Man is nothing else but what he purposes, he exists only in so far as he realizes himself, he is therefore nothing else but the sum of his actions, nothing else but what his life is.",Jean-Paul Sartre,"actions, existence, life, man, purpose, realization",Existencialismo
"Vladimir, be reasonable, you haven't yet tried everything. And I resumed the struggle.",Samuel Beckett,motivation,Teatro do Absurdo
Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend,Albert Camus,"attributed-no-source, friends, friendship, misattributed-albert-camus",Existencialismo / Absurdismo
What is a friend? A single soul dwelling in two bodies.,Aristotle,"friendship, soul",Peripatético / Aristotelismo
"The glory of friendship is not the outstretched hand, not the kindly smile, nor the joy of companionship; it is the spiritual inspiration that comes to one when you discover that someone else believes in you and is willing to trust you with a friendship.",Ralph Waldo Emerson,friendship,Transcendentalismo
"Wishing to be friends is quick work, but friendship is a slow ripening fruit.",Aristotle,friendship,Peripatético / Aristotelismo
A friend to all is a friend to none.,Aristotle,friendship,Peripatético / Aristotelismo
"Be slow to fall into friendship, but when you are in, continue firm and constant.",Socrates,friendship,Filosofia Socrática
The antidote for fifty enemies is one friend.,Aristotle,friendship,Peripatético / Aristotelismo
"We are like islands in the sea, separate on the surface but connected in the deep.",William James,"connection, friendship, sea",Pragmatismo
"Friendship, like the immortality of the soul, is too good to be believed. When friendships are real, they are not glass threads or frost work but the solidest things we know.",Ralph Waldo Emerson,friendship,Transcendentalismo
"Seek not the favor of the multitude; it is seldom got by honest and lawful means. But seek the testimony of few; and number not voices, but weigh them.",Immanuel Kant,"favor, friendship, honesty, seek, testimony, trust",Idealismo Transcendental
It is not so much our friends' help that helps us as the confident knowledge that they will help us.,Epicurus,friendship,Epicurismo
Few friendships would survive if each one knew what his friend says of him behind his back,Blaise Pascal,friendship,Jansenismo / Existencialismo Cristão (precursor)
Better be a nettle in the side of your friend than his echo.,Ralph Waldo Emerson,friendship,Transcendentalismo
"Why should I cumber myself with regrets that the receiver is not capacious? It never troubles the sun that some of his rays fall wide and vain into ungrateful space, and only a small part on the reflecting planet. Let your greatness educate the crude and cold companion.",Ralph Waldo Emerson,friendship,Transcendentalismo
"Human beings are born into this little span of life of which the best thing is its friendships and intimacies … and yet they leave their friendships and intimacies with no cultivation, to grow as they will by the roadside, expecting them to ""keep"" by force of mere inertia.",William James,friendship,Pragmatismo
"In good company there is never such discourse between two, across the table, as takes place when you leave them alone. In good company, the individuals merge their egotism into a social soul exactly coextensive with the several consciousnesses there present. No partialities of friend to friend, no fondnesses of brother to sister, of wife to husband, are there pertinent, but quite otherwise. Only he may then speak who can sail on the common thought of the party, and not poorly limited to his own. Now this convention, which good sense demands, destroys the high freedom of great conversation, which requires an absolute running of two souls into one.",Ralph Waldo Emerson,"communication, conversation, friendship",Transcendentalismo
"Let us even bid our dearest friends farewell, and defy them, saying, ""Who are you? Unhand me: I will be dependent no more."" Ah! seest thou not, O brother, that thus we part only to meet again on a higher platform, and only be more each other's, because we are more our own?",Ralph Waldo Emerson,friendship,Transcendentalismo
"An Eastern poet, Ali Ben Abu Taleb, writes with sad truth, —""He who has a thousand friends has not a friend to spare,And he who has one enemy shall meet him everywhere.",Ralph Waldo Emerson,friendship,Transcendentalismo
"The law of nature is alternation for evermore. Each electrical state superinduces the opposite. The soul environs itself with friends, that it may enter into a grander self-acquaintance or solitude; and it goes alone for a season, that it may exalt its conversation or society.",Ralph Waldo Emerson,friendship,Transcendentalismo
"To stand in true relations with men in a false age is worth a fit of insanity, is it not?",Ralph Waldo Emerson,friendship,Transcendentalismo
"As many thoughts in succession substantiate themselves, we shall by and by stand in a new world of our own creation, and no longer strangers and pilgrims in a traditionary globe. My friends have come to me unsought.... Will these, too, seperate themselves from me again, or some of them? I know not, but I fear it not; for my relation to them is so pure, that we hold by simple affinity, and the Genius of my life being thus social, the same affinity will exert its energy on whomsoever is as noble as these men and women, wherever I may be.",Ralph Waldo Emerson,friendship,Transcendentalismo
"Shared joys make a friend, not shared sufferings.",Friedrich Nietzsche,friendship,Niilismo / Existencialismo (precursor)
"Leave this touching and clawing. Let him be to me a spirit. A message, a thought, a sincerity, a glance from him, I want, but not news nor pottage. I can get politics, and chat, and neighborly conveniences from cheaper companions. Should not the society of my friend be to me poetic, pure, universal, and great as nature itself? Ought I to feel that our tie is profane in comparison with yonder bar of cloud that sleeps on the horizon, or that clump of waving grass that divides the brook? Let us not vilify, bur raise it to that standard. That great, defying eye, that scornful beauty of his mien and action, do not pique yourself on reducing, but rather fortify and enhance.",Ralph Waldo Emerson,friendship,Transcendentalismo
"How closely flattery resembles friendship! It not only apes friendship, but outdoes it, passing it in the race; with wide-open and indulgent ears it is welcomed and sinks to the depths of the heart, and it is pleasing precisely wherein it does harm.",Seneca,friendship,Estoicismo
"Get not your friends by bare compliments, but by giving them sensible tokens of your love.",Socrates,"compliments, friendship, love, tokens",Filosofia Socrática
"good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws",Plato,"laws, people",Platonismo
"Where words lose their meaning, people lose their lives.",Confucius,"humanity-and-society, life, meaning, people, words",Confucionismo
"Your actions speak so loudly, I cannot hear what you are saying.",Ralph Waldo Emerson,"emotions, life, people",Transcendentalismo
"To know your Enemy, you must become your Enemy.",Sun Tzu,"enemy, sun-tzu, war",Filosofia Militar Chinesa
One mark of a great soldier is that he fight on his own terms or fights not at all.,Sun Tzu,"fight, sun-tzu, war",Filosofia Militar Chinesa
"When one treats people with benevolence, justice, and righteoousness, and reposes confidence in them, the army will be united in mind and all will be happy to serve their leaders'.",Sun Tzu,"strategy, war",Filosofia Militar Chinesa
"Once you hear the details of victory, it is hard to distinguish it from a defeat.",Jean-Paul Sartre,"defeat, victory, war",Existencialismo
"It was in Spain that [my generation] learned that one can be right and yet be beaten, that force can vanquish spirit, that there are times when courage is not its own recompense. It is this, doubtless, which explains why so many, the world over, feel the Spanish drama as a personal tragedy.",Albert Camus,"spain, vanquish, victory, war",Existencialismo / Absurdismo
Be where your enemy is not.,Sun Tzu,"enemy, inspirational, sun-tzu, war",Filosofia Militar Chinesa
In love there are two evils: war and peace.,Horace,"evil, love, peace, war",Epicurismo (influência)
"But what are a hundred million deaths? When one has served in a war, one hardly knows what a dead man is, after a while. And since a dead man has no substance unless one has actually seen him dead, a hundred million corpses broadcast through history are no more than a puff of smoke in the imagination.",Albert Camus,"existentialism, war",Existencialismo / Absurdismo
How good music and bad reasons sound when one marches against an enemy.,Friedrich Nietzsche,war,Niilismo / Existencialismo (precursor)
The slaying of multitudes should be mourned with sorrow. A victory should be celebrated with the funeral rite.,Lao Tzu,war,Taoismo
"If peace is to be maintained, it must be by brave men, who have come up to the same height as the hero, namely, the will to carry their life in their hand, and stake it at any instant for their principle, but who have gone one step beyond the hero, and will not seek another man's life.",Ralph Waldo Emerson,"peace, sacrifice, violence, war",Transcendentalismo
Dare to live the life you have dreamed for yourself. Go forward and make your dreams come true.,Ralph Waldo Emerson,dreams,Transcendentalismo
