quote,author,category,escola
All truly great thoughts are conceived by walking.,Friedrich Nietzsche,"Thoughts, Walking, Truly ",Niilismo / Existencialismo (precursor)
"The essence of all beautiful art, all great art, is gratitude.",Friedrich Nietzsche,"Gratitude, Art, Beautiful ",Niilismo / Existencialismo (precursor)
A man's worth is no greater than his ambitions.,Marcus Aurelius,"Man, Worth, Than ",Estoicismo
The greatest way to live with honor in this world is to be what we pretend to be.,Socrates,"World, Honor, Greatest ",Filosofia Socrática
Governing a great nation is like cooking a small fish - too much handling will spoil it.,Lao Tzu,"Cooking, Government, Small ",Taoismo
Great men are they who see that spiritual is stronger than any material force - that thoughts rule the world.,Ralph Waldo Emerson,"Spiritual, Men, World ",Transcendentalismo
The demand to be loved is the greatest of all arrogant presumptions.,Friedrich Nietzsche,"Greatest, Loved, Arrogant ",Niilismo / Existencialismo (precursor)
A great city is not to be confounded with a populous one.,Aristotle,"City, Great City, Confounded ",Peripatético / Aristotelismo
"Enthusiasm is the mother of effort, and without it nothing great was ever achieved.",Ralph Waldo Emerson,"Mother, Effort, Enthusiasm ",Transcendentalismo
"Better a little which is well done, than a great deal imperfectly.",Plato,"Well Done, Better, Done ",Platonismo
"The sensitivity of men to small matters, and their indifference to great ones, indicates a strange inversion.",Blaise Pascal,"Men, Small, Strange ",Jansenismo / Existencialismo Cristão (precursor)
The first and greatest victory is to conquer yourself to be conquered by yourself is of all things most shameful and vile. ,Plato,"Yourself, Victory, Greatest ",Platonismo
"Suffering becomes beautiful when anyone bears great calamities with cheerfulness, not through insensibility but through greatness of mind.",Aristotle,"Beautiful, Greatness, Mind ",Peripatético / Aristotelismo
Success has always been a great liar.,Friedrich Nietzsche,"Success, Liar, Always ",Niilismo / Existencialismo (precursor)
Germany is a great nation only because its people have so much Polish blood in their veins.,Friedrich Nietzsche,"People, Blood, Nation ",Niilismo / Existencialismo (precursor)
"All difficult things have their origin in that which is easy, and great things in that which is small.",Lao Tzu,"Small, Easy, Great Things ",Taoismo
"The wicked leader is he who the people despise. The good leader is he who the people revere. The great leader is he who the people say, 'We did it ourselves.'",Lao Tzu,"Good, Leader, People ",Taoismo
It is great wealth to a soul to live frugally with a contented mind.,Lucretius,"Soul, Mind, Wealth ",Epicurismo
The first wealth is health.,Ralph Waldo Emerson,"Wealth, First ",Transcendentalismo
"The health of the eye seems to demand a horizon. We are never tired, so long as we can see far enough.",Ralph Waldo Emerson,"Eye, Tired, Long ",Transcendentalismo
Attention to health is life's greatest hindrance.,Plato,"Life, Greatest, Attention ",Platonismo
It is better to travel well than to arrive.,Buddha,"Better, Well, Than ",Budismo
"Strange - is it not? That of the myriads who Before us passed the door of Darkness through, Not one returns to tell us of the road Which to discover we must travel too.",Horace,"Road, Door, Darkness ",Epicurismo (influência)
"We should feel sorrow, but not sink under its oppression.",Confucius,"Oppression, Feel, Sorrow ",Confucionismo
"One's life has value so long as one attributes value to the life of others, by means of love, friendship, indignation and compassion.",Simone de Beauvoir,"Love, Life, Friendship ",Existencialismo / Feminismo
The community stagnates without the impulse of the individual. The impulse dies away without the sympathy of the community.,William James,"Community, Individual ",Pragmatismo
Believe that life is worth living and your belief will help create the fact.,William James,"Life, Believe, Help ",Pragmatismo
"Suffering is the positive element in this world, indeed it is the only link between this world and the positive.",Franz Kafka,"World, Suffering, Between ",Existencialismo (influência) / Absurdo
"When a nation is filled with strife, then do patriots flourish.",Lao Tzu,"Nation, Patriots, Strife ",Taoismo
We are twice armed if we fight with faith.,Plato,"Fight, Twice, Armed ",Platonismo
Faith: not wanting to know what is true.,Friedrich Nietzsche,"Know, True, Wanting ",Niilismo / Existencialismo (precursor)
In faith there is enough light for those who want to believe and enough shadows to blind those who don't.,Blaise Pascal,"Light, Blind, Believe ",Jansenismo / Existencialismo Cristão (precursor)
"Faith is different from proof; the latter is human, the former is a Gift from God.",Blaise Pascal,"God, Gift, Human ",Jansenismo / Existencialismo Cristão (precursor)
"Faith certainly tells us what the senses do not, but not the contrary of what they see; it is above, not against them.",Blaise Pascal,"See, Senses, Us ",Jansenismo / Existencialismo Cristão (precursor)
To me faith means not worrying.,John Dewey,"Me, Worrying, Means ",Pragmatismo
Whatever universe a professor believes in must at any rate be a universe that lends itself to lengthy discourse. A universe definable in two sentences is something for which the professorial intellect has no use. No faith in anything of that cheap kind!,William James,"Universe, Kind, Discourse ",Pragmatismo
Our faith comes in moments our vice is habitual. ,Ralph Waldo Emerson,"Moments, Vice, Habitual ",Transcendentalismo
The faith that stands on authority is not faith.,Ralph Waldo Emerson,"Authority, Stands ",Transcendentalismo
"To insure the adoration of a theorem for any length of time, faith is not enough, a police force is needed as well.",Albert Camus,"Time, Police, Well ",Existencialismo / Absurdismo
